Category,Quantity,References,Value,Notes,Stock Code
Capacitors,8,C1-C8,100nF,0603 100nF MLCC,CGB3B3X5R1E474K055AB
Resistors,1,R1,270,0603,RC0603FR-07270RL
Resistors,3,R2-R4,820,0603,RT0603FRE07820RL
IC,1,U1,74LVC16244,TSSOP48,74LVC16244ADGG
IC,1,U2,IS61WV6416BLL-12TLI,SRAM SOP80,IS61WV6416BLL-12TLI-TR
IC,1,U3,5M240ZT100,Max V CPLD 240LE,5M240ZT100C5N
IC,1,U4,AP7312,LDO 1.8V 3.3V,AP7312-1833W6-7
IC,1,U5,74LVC245,TSSOP20,SN74LVC245APWR
IC,1,U6,THS7373,Video amp,THS7373IPWR
Misc,2,RN1-RN2,4.7k,For DACs,CAT16-472J8LF
Misc,1,RN3,75,For output,CAT16-75R0F4LF
Misc,1,VBIN,FPC 30 contacts 0.8mm pitch
Misc,1,VBOUT,FPC 30 contacts 0.8mm pitch
Misc,1,X1,40MHz,Oscillator,KC2016Z40.0000C1KX00
